Behaviour,Actor,Receiver,T_start,T_stop,treatment_rep
T,4,3,2021-03-16T12:25:53.675421667Z,2021-03-16T12:26:01.300458351Z,R3SP
SG,24,NA,2021-03-16T12:25:52.300407574Z,2021-03-16T12:26:13.050487332Z,R3SP
G,18,5,2021-03-16T12:25:50.550398963Z,2021-03-16T12:26:41.300725876Z,R3SP
G,18,5,2021-03-16T12:25:50.550398963Z,2021-03-16T12:26:41.300725876Z,R3SP
CR,15,6,2021-03-16T12:25:43.800305183Z,2021-03-16T12:26:00.050409428Z,R3SP
FR,3,6,2021-03-16T12:25:30.425195734Z,2021-03-16T12:25:33.675222190Z,R3SP
FR,3,6,2021-03-16T12:25:30.425195734Z,2021-03-16T12:25:33.675222190Z,R3SP
SG,17,NA,2021-03-16T12:25:19.675161712Z,2021-03-16T12:25:32.175269428Z,R3SP
SG,13,NA,2021-03-16T12:25:19.175119147Z,2021-03-16T12:25:21.925154717Z,R3SP
CR,23,8,2021-03-16T12:25:12.425133423Z,2021-03-16T12:25:57.050397877Z,R3SP
CR,23,8,2021-03-16T12:25:12.425133423Z,2021-03-16T12:25:57.050397877Z,R3SP
FR,3,6,2021-03-16T12:25:07.050099716Z,2021-03-16T12:25:20.925129884Z,R3SP
FR,3,6,2021-03-16T12:25:07.050099716Z,2021-03-16T12:25:20.925129884Z,R3SP
FR,3,15,2021-03-16T12:25:01.425039963Z,2021-03-16T12:25:04.675016900Z,R3SP
FR,15,3,2021-03-16T12:25:01.425039963Z,2021-03-16T12:25:04.675016900Z,R3SP
SG,16,NA,2021-03-16T12:24:59.175035502Z,2021-03-16T12:25:02.550048714Z,R3SP
SG,20,NA,2021-03-16T12:24:55.049999049Z,2021-03-16T12:25:01.175041039Z,R3SP
SG,22,NA,2021-03-16T12:24:53.049982401Z,2021-03-16T12:26:03.300487401Z,R3SP
SG,16,NA,2021-03-16T12:24:48.549901329Z,2021-03-16T12:24:54.675000662Z,R3SP
SG,13,NA,2021-03-16T12:24:41.424906307Z,2021-03-16T12:25:14.425084582Z,R3SP
FR,8,23,2021-03-16T12:24:30.049827161Z,2021-03-16T12:24:42.799872855Z,R3SP
FR,23,8,2021-03-16T12:24:30.049827161Z,2021-03-16T12:24:42.799872855Z,R3SP
SG,6,NA,2021-03-16T12:24:20.299681854Z,2021-03-16T12:24:40.174895123Z,R3SP
SG,18,NA,2021-03-16T12:24:20.049756642Z,2021-03-16T12:24:22.549762649Z,R3SP
SG,4,NA,2021-03-16T12:24:11.299697275Z,2021-03-16T12:24:14.924713714Z,R3SP
FR,8,23,2021-03-16T12:24:01.049620686Z,2021-03-16T12:24:07.174641275Z,R3SP
FR,23,8,2021-03-16T12:24:01.049620686Z,2021-03-16T12:24:07.174641275Z,R3SP
FR,4,20,2021-03-16T12:23:49.799535132Z,2021-03-16T12:23:53.299506159Z,R3SP
FR,4,20,2021-03-16T12:23:49.799535132Z,2021-03-16T12:23:53.299506159Z,R3SP
TB,22,NA,2021-03-16T12:23:49.299479227Z,2021-03-16T12:24:53.049982401Z,R3SP
SG,17,NA,2021-03-16T12:23:44.924498322Z,2021-03-16T12:23:47.924454290Z,R3SP
SG,1,NA,2021-03-16T12:23:44.674499753Z,2021-03-16T12:24:15.799711901Z,R3SP
SG,16,NA,2021-03-16T12:23:28.299386710Z,2021-03-16T12:23:35.674440702Z,R3SP
SG,22,NA,2021-03-16T12:23:24.924351774Z,2021-03-16T12:23:39.549544802Z,R3SP
G,24,5,2021-03-16T12:23:17.799298312Z,2021-03-16T12:25:47.050314102Z,R3SP
G,24,5,2021-03-16T12:23:17.799298312Z,2021-03-16T12:25:47.050314102Z,R3SP
SG,1,NA,2021-03-16T12:23:17.299310756Z,2021-03-16T12:23:39.299442045Z,R3SP
A,18,7,2021-03-16T12:23:10.924252063Z,2021-03-16T12:23:14.424288401Z,R3SP
A,18,7,2021-03-16T12:23:10.924252063Z,2021-03-16T12:23:14.424288401Z,R3SP
SG,18,NA,2021-03-16T12:23:02.799178541Z,2021-03-16T12:23:06.424220166Z,R3SP
CB,16,NA,2021-03-16T12:22:58.799131245Z,2021-03-16T12:23:15.549329069Z,R3SP
SG,1,NA,2021-03-16T12:22:58.549127250Z,2021-03-16T12:23:09.424248100Z,R3SP
SG,8,NA,2021-03-16T12:22:57.299159127Z,2021-03-16T12:23:12.549282277Z,R3SP
SG,23,NA,2021-03-16T12:22:52.799140751Z,2021-03-16T12:22:55.549115333Z,R3SP
SG,2,NA,2021-03-16T12:22:50.799154Z,2021-03-16T12:22:56.049199316Z,R3SP
T,4,7,2021-03-16T12:22:45.549098502Z,2021-03-16T12:23:02.174149211Z,R3SP
T,7,4,2021-03-16T12:22:45.549098502Z,2021-03-16T12:23:02.174149211Z,R3SP
SG,12,NA,2021-03-16T12:22:44.924042475Z,2021-03-16T12:22:57.174162069Z,R3SP
TB,16,NA,2021-03-16T12:22:44.549110432Z,2021-03-16T12:22:50.799154Z,R3SP
SG,17,NA,2021-03-16T12:22:44.049069662Z,2021-03-16T12:22:46.299103538Z,R3SP
SG,1,NA,2021-03-16T12:22:27.923954282Z,2021-03-16T12:22:32.423988324Z,R3SP
SG,7,NA,2021-03-16T12:22:26.798908556Z,2021-03-16T12:22:33.174002612Z,R3SP
SG,2,NA,2021-03-16T12:22:18.298841793Z,2021-03-16T12:22:49.174105611Z,R3SP
TB,16,NA,2021-03-16T12:22:17.173878032Z,2021-03-16T12:22:17.173878032Z,R3SP
TB,19,NA,2021-03-16T12:22:12.923855047Z,2021-03-16T12:22:19.173842997Z,R3SP
SG,4,NA,2021-03-16T12:22:11.673792790Z,2021-03-16T12:22:22.548921208Z,R3SP
SG,7,NA,2021-03-16T12:22:07.923806599Z,2021-03-16T12:22:22.673912497Z,R3SP
SG,15,NA,2021-03-16T12:22:06.548748257Z,2021-03-16T12:26:36.175668283Z,R3SP
SG,2,NA,2021-03-16T12:22:05.173775255Z,2021-03-16T12:22:14.048870680Z,R3SP
G,23,5,2021-03-16T12:22:01.173719822Z,2021-03-16T12:22:34.549023519Z,R3SP
G,23,5,2021-03-16T12:22:01.173719822Z,2021-03-16T12:22:34.549023519Z,R3SP
G,8,6,2021-03-16T12:21:58.798807447Z,2021-03-16T12:22:20.298915163Z,R3SP
G,8,6,2021-03-16T12:21:58.798807447Z,2021-03-16T12:22:20.298915163Z,R3SP
SG,22,NA,2021-03-16T12:21:56.798759174Z,2021-03-16T12:22:34.424009341Z,R3SP
SG,19,NA,2021-03-16T12:21:47.798674290Z,2021-03-16T12:21:55.923737208Z,R3SP
SG,7,NA,2021-03-16T12:21:46.423669449Z,2021-03-16T12:21:51.923702629Z,R3SP
A,24,4,2021-03-16T12:21:46.173664040Z,2021-03-16T12:21:49.548772272Z,R3SP
SG,26,NA,2021-03-16T12:21:42.423632684Z,2021-03-16T12:21:51.173715363Z,R3SP
SG,15,NA,2021-03-16T12:21:40.173633297Z,2021-03-16T12:22:03.048808830Z,R3SP
T,4,22,2021-03-16T12:21:35.298579840Z,2021-03-16T12:21:46.798715162Z,R3SP
T,22,4,2021-03-16T12:21:35.298579840Z,2021-03-16T12:21:46.798715162Z,R3SP
SG,16,NA,2021-03-16T12:21:33.423520532Z,2021-03-16T12:21:36.798648416Z,R3SP
FR,3,7,2021-03-16T12:21:22.798513632Z,2021-03-16T12:21:25.923512184Z,R3SP
FR,7,3,2021-03-16T12:21:22.798513632Z,2021-03-16T12:21:25.923512184Z,R3SP
CR,13,27,2021-03-16T12:21:22.298427890Z,2021-03-16T12:23:19.174460565Z,R3SP
CR,13,27,2021-03-16T12:21:22.298427890Z,2021-03-16T12:23:19.174460565Z,R3SP
G,26,9,2021-03-16T12:21:17.798495294Z,2021-03-16T12:21:28.798617654Z,R3SP
