colony	tag	survived_treatment	treatment	REP_treat
colony11SP	23	TRUE	pathogen.small	R11SP
colony11SP	29	TRUE	pathogen.small	R11SP
colony11SS	10	TRUE	control.small	R11SS
colony11SS	13	TRUE	control.small	R11SS
colony11SS	27	TRUE	control.small	R11SS
colony12BP	4	TRUE	pathogen.big	R12BP
colony12BP	18	TRUE	pathogen.big	R12BP
colony12BP	36	TRUE	pathogen.big	R12BP
colony12BP	58	TRUE	pathogen.big	R12BP
colony12BP	64	TRUE	pathogen.big	R12BP
colony12BP	70	TRUE	pathogen.big	R12BP
colony12BP	87	TRUE	pathogen.big	R12BP
colony12BP	100	TRUE	pathogen.big	R12BP
colony12BP	109	TRUE	pathogen.big	R12BP
colony12BP	128	TRUE	pathogen.big	R12BP
colony12BP	166	TRUE	pathogen.big	R12BP
colony12BP	171	TRUE	pathogen.big	R12BP
colony12BP	176	TRUE	pathogen.big	R12BP
colony12BP	184	TRUE	pathogen.big	R12BP
colony12BP	189	TRUE	pathogen.big	R12BP
colony12BP	190	TRUE	pathogen.big	R12BP
colony12BS	20	TRUE	control.big	R12BS
colony12BS	30	TRUE	control.big	R12BS
colony12BS	31	TRUE	control.big	R12BS
colony12BS	34	TRUE	control.big	R12BS
colony12BS	42	TRUE	control.big	R12BS
colony12BS	46	TRUE	control.big	R12BS
colony12BS	63	TRUE	control.big	R12BS
colony12BS	70	TRUE	control.big	R12BS
colony12BS	73	TRUE	control.big	R12BS
colony12BS	74	TRUE	control.big	R12BS
colony12BS	76	TRUE	control.big	R12BS
colony12BS	90	TRUE	control.big	R12BS
colony12BS	126	TRUE	control.big	R12BS
colony12BS	134	TRUE	control.big	R12BS
colony12BS	136	TRUE	control.big	R12BS
colony12BS	152	TRUE	control.big	R12BS
colony12BS	173	TRUE	control.big	R12BS
colony12SP	11	TRUE	pathogen.small	R12SP
colony12SP	23	TRUE	pathogen.small	R12SP
colony13BS	6	TRUE	control.big	R13BS
colony13BS	32	TRUE	control.big	R13BS
colony13BS	35	TRUE	control.big	R13BS
colony13BS	42	TRUE	control.big	R13BS
colony13BS	67	TRUE	control.big	R13BS
colony13BS	69	TRUE	control.big	R13BS
colony13BS	70	TRUE	control.big	R13BS
colony13BS	80	TRUE	control.big	R13BS
colony13BS	82	TRUE	control.big	R13BS
colony13BS	86	TRUE	control.big	R13BS
colony13BS	88	TRUE	control.big	R13BS
colony13BS	103	TRUE	control.big	R13BS
colony13BS	111	TRUE	control.big	R13BS
colony13BS	124	TRUE	control.big	R13BS
colony13BS	130	TRUE	control.big	R13BS
colony13BS	148	TRUE	control.big	R13BS
colony13BS	159	TRUE	control.big	R13BS
colony13BS	171	TRUE	control.big	R13BS
colony13BS	174	TRUE	control.big	R13BS
colony13SP	19	TRUE	pathogen.small	R13SP
colony13SP	26	TRUE	pathogen.small	R13SP
colony13SP	27	TRUE	pathogen.small	R13SP
colony13SS	8	TRUE	control.small	R13SS
colony13SS	13	TRUE	control.small	R13SS
colony13SS	14	TRUE	control.small	R13SS
colony14BP	5	TRUE	pathogen.big	R14BP
colony14BP	15	TRUE	pathogen.big	R14BP
colony14BP	17	TRUE	pathogen.big	R14BP
colony14BP	18	TRUE	pathogen.big	R14BP
colony14BP	39	TRUE	pathogen.big	R14BP
colony14BP	63	TRUE	pathogen.big	R14BP
colony14BP	67	TRUE	pathogen.big	R14BP
colony14BP	72	TRUE	pathogen.big	R14BP
colony14BP	106	TRUE	pathogen.big	R14BP
colony14BP	109	TRUE	pathogen.big	R14BP
colony14BP	112	TRUE	pathogen.big	R14BP
colony14BP	117	TRUE	pathogen.big	R14BP
colony14BP	125	TRUE	pathogen.big	R14BP
colony14BP	127	TRUE	pathogen.big	R14BP
colony14BS	8	TRUE	control.big	R14BS
colony14BS	15	TRUE	control.big	R14BS
colony14BS	17	TRUE	control.big	R14BS
colony14BS	28	TRUE	control.big	R14BS
colony14BS	36	TRUE	control.big	R14BS
colony14BS	47	TRUE	control.big	R14BS
colony14BS	51	TRUE	control.big	R14BS
colony14BS	87	TRUE	control.big	R14BS
colony14BS	104	TRUE	control.big	R14BS
colony14BS	122	TRUE	control.big	R14BS
colony14BS	123	TRUE	control.big	R14BS
colony14BS	124	TRUE	control.big	R14BS
colony14BS	133	TRUE	control.big	R14BS
colony14BS	143	TRUE	control.big	R14BS
colony14BS	155	TRUE	control.big	R14BS
colony14BS	157	TRUE	control.big	R14BS
colony14BS	163	TRUE	control.big	R14BS
colony14SP	5	TRUE	pathogen.small	R14SP
colony14SP	18	TRUE	pathogen.small	R14SP
colony14SP	21	TRUE	pathogen.small	R14SP
colony14SS	17	TRUE	control.small	R14SS
colony14SS	23	TRUE	control.small	R14SS
colony14SS	25	TRUE	control.small	R14SS
colony02BP	19	TRUE	pathogen.big	R2BP
colony02BP	20	TRUE	pathogen.big	R2BP
colony02BP	20	TRUE	pathogen.big	R2BP
colony02BP	38	TRUE	pathogen.big	R2BP
colony02BP	44	TRUE	pathogen.big	R2BP
colony02BP	45	TRUE	pathogen.big	R2BP
colony02BP	87	TRUE	pathogen.big	R2BP
colony02BP	123	TRUE	pathogen.big	R2BP
colony02BP	124	TRUE	pathogen.big	R2BP
colony02BP	129	TRUE	pathogen.big	R2BP
colony02BP	130	TRUE	pathogen.big	R2BP
colony02BP	131	TRUE	pathogen.big	R2BP
colony02BP	140	TRUE	pathogen.big	R2BP
colony02BP	149	TRUE	pathogen.big	R2BP
colony02BP	150	TRUE	pathogen.big	R2BP
colony02BS	16	TRUE	control.big	R2BS
colony02BS	22	TRUE	control.big	R2BS
colony02BS	35	TRUE	control.big	R2BS
colony02BS	49	TRUE	control.big	R2BS
colony02BS	63	TRUE	control.big	R2BS
colony02BS	73	TRUE	control.big	R2BS
colony02BS	77	TRUE	control.big	R2BS
colony02BS	88	TRUE	control.big	R2BS
colony02BS	96	TRUE	control.big	R2BS
colony02BS	103	TRUE	control.big	R2BS
colony02BS	104	TRUE	control.big	R2BS
colony02BS	110	TRUE	control.big	R2BS
colony02BS	114	TRUE	control.big	R2BS
colony02BS	120	TRUE	control.big	R2BS
colony02BS	122	TRUE	control.big	R2BS
colony02BS	145	TRUE	control.big	R2BS
colony02BS	150	TRUE	control.big	R2BS
colony02SP	14	TRUE	pathogen.small	R2SP
colony02SP	15	TRUE	pathogen.small	R2SP
colony02SS	16	TRUE	control.small	R2SS
colony02SS	17	TRUE	control.small	R2SS
colony02SS	30	TRUE	control.small	R2SS
colony03BP	6	TRUE	pathogen.big	R3BP
colony03BP	8	TRUE	pathogen.big	R3BP
colony03BP	35	TRUE	pathogen.big	R3BP
colony03BP	56	TRUE	pathogen.big	R3BP
colony03BP	70	TRUE	pathogen.big	R3BP
colony03BP	76	TRUE	pathogen.big	R3BP
