Column,Behaviour,Actor,Receiver,Focal,T_start,T_stop,period,treatment_rep,T_start_UNIX,T_stop_UNIX,duration
665,G,18,17,18,2021-03-16T12:29:45.177065531Z,2021-03-16T12:29:55.552235555Z,post,R3SP,2021-03-16 12:29:45,2021-03-16 12:29:55,10.3751699924469
666,SG,18,NA,18,2021-03-16T12:30:02.302194719Z,2021-03-16T12:30:06.802174459Z,post,R3SP,2021-03-16 12:30:02,2021-03-16 12:30:06,4.49997973442078
667,SG,18,NA,18,2021-03-16T12:30:21.177301070Z,2021-03-16T12:30:30.427446324Z,post,R3SP,2021-03-16 12:30:21,2021-03-16 12:30:30,9.25014519691467
668,SG,18,NA,18,2021-03-16T12:30:35.052513827Z,2021-03-16T12:30:45.927511116Z,post,R3SP,2021-03-16 12:30:35,2021-03-16 12:30:45,10.8749973773956
669,G,18,5,18,2021-03-16T12:30:54.552546646Z,2021-03-16T12:31:02.552939750Z,post,R3SP,2021-03-16 12:30:54,2021-03-16 12:31:02,8.00039291381836
670,SG,18,NA,18,2021-03-16T12:31:06.177711764Z,2021-03-16T12:31:08.677667715Z,post,R3SP,2021-03-16 12:31:06,2021-03-16 12:31:08,2.49995589256287
671,SG,18,NA,18,2021-03-16T12:31:59.553112980Z,2021-03-16T12:32:19.928171213Z,post,R3SP,2021-03-16 12:31:59,2021-03-16 12:32:19,20.3750581741333
673,SG,18,NA,18,2021-03-16T12:40:19.056659875Z,2021-03-16T12:40:23.931637461Z,post,R3SP,2021-03-16 12:40:19,2021-03-16 12:40:23,4.87497758865356
674,SG,18,NA,18,2021-03-16T12:40:25.806690207Z,2021-03-16T12:40:28.306667230Z,post,R3SP,2021-03-16 12:40:25,2021-03-16 12:40:28,2.49997711181641
675,FR,18,24,18,2021-03-16T12:40:29.556767942Z,2021-03-16T12:40:35.806689142Z,post,R3SP,2021-03-16 12:40:29,2021-03-16 12:40:35,6.24992108345032
676,SG,18,NA,18,2021-03-16T12:40:39.181709911Z,2021-03-16T12:40:45.681738879Z,post,R3SP,2021-03-16 12:40:39,2021-03-16 12:40:45,6.50002884864807
677,FR,18,24,18,2021-03-16T12:42:25.932512839Z,2021-03-16T12:42:26.807460665Z,post,R3SP,2021-03-16 12:42:25,2021-03-16 12:42:26,0.874947786331177
678,SG,18,NA,18,2021-03-16T12:42:27.182520065Z,2021-03-16T12:42:31.682490595Z,post,R3SP,2021-03-16 12:42:27,2021-03-16 12:42:31,4.49997043609619
679,SG,18,NA,18,2021-03-16T12:42:49.057766489Z,2021-03-16T12:43:12.432937289Z,post,R3SP,2021-03-16 12:42:49,2021-03-16 12:43:12,23.3751709461212
680,CB,19,NA,19,2021-03-16T12:39:01.056124334Z,2021-03-16T12:39:03.181045549Z,post,R3SP,2021-03-16 12:39:01,2021-03-16 12:39:03,2.12492108345032
681,SG,19,NA,19,2021-03-16T12:39:42.056329600Z,2021-03-16T12:39:48.306296902Z,post,R3SP,2021-03-16 12:39:42,2021-03-16 12:39:48,6.24996733665466
682,SG,19,NA,19,2021-03-16T12:40:40.556791537Z,2021-03-16T12:40:45.931793139Z,post,R3SP,2021-03-16 12:40:40,2021-03-16 12:40:45,5.37500166893005
683,SG,19,NA,19,2021-03-16T12:41:01.931902466Z,2021-03-16T12:41:03.181854695Z,post,R3SP,2021-03-16 12:41:01,2021-03-16 12:41:03,1.24995231628418
684,SG,19,NA,19,2021-03-16T12:41:14.681999229Z,2021-03-16T12:41:17.556960371Z,post,R3SP,2021-03-16 12:41:14,2021-03-16 12:41:17,2.87496113777161
685,SG,19,NA,19,2021-03-16T12:41:25.307012767Z,2021-03-16T12:41:32.182210090Z,post,R3SP,2021-03-16 12:41:25,2021-03-16 12:41:32,6.8751974105835
686,G,19,5,19,2021-03-16T12:41:33.307127474Z,2021-03-16T12:42:42.932639850Z,post,R3SP,2021-03-16 12:41:33,2021-03-16 12:42:42,69.6255123615265
687,SG,19,NA,19,2021-03-16T12:42:42.932639850Z,2021-03-16T12:42:53.057706128Z,post,R3SP,2021-03-16 12:42:42,2021-03-16 12:42:53,10.125066280365
688,G,19,5,19,2021-03-16T12:42:55.182783425Z,2021-03-16T12:43:06.057865131Z,post,R3SP,2021-03-16 12:42:55,2021-03-16 12:43:06,10.8750817775726
