,Behaviour,Actor,Receiver,Focal,T_start,T_stop,period,treatment_rep,duration,RowID,BEH_AW,notes
1400,SG,33,NA,33,2021-04-27 11:05:55,2021-04-27 11:06:14,post,R9SP,19.000156879425,1145,,
1401,G,33,23,33,2021-04-27 11:06:17,2021-04-27 11:06:49,post,R9SP,32.2503254413605,1146,,
1402,SG,33,NA,33,2021-04-27 11:06:52,2021-04-27 11:06:57,post,R9SP,4.87504744529724,1147,,
1407,SG,33,NA,33,2021-04-27 11:08:31,2021-04-27 11:08:36,post,R9SP,5.62501621246338,1152,,
1744,SG,33,NA,33,2021-04-27 11:19:19,2021-04-27 11:19:27,post,R9SP,8.00007700920105,1401,,
1745,SG,33,NA,33,2021-04-27 11:25:06,2021-04-27 11:25:20,post,R9SP,13.3750960826874,1402,,
1746,SG,33,NA,33,2021-04-27 11:25:50,2021-04-27 11:25:58,post,R9SP,8.12509775161743,1403,,
1751,SG,34,NA,34,2021-04-27 11:21:31,2021-04-27 11:22:00,post,R9SP,28.5002703666687,1406,,
764,T,1,6,1,2021-04-26 11:10:08,2021-04-26 11:11:22,pre,R9SP,74.500298500061,618,,
773,SG,3,NA,3,2021-04-26 11:10:49,2021-04-26 11:11:08,pre,R9SP,19.2501697540283,627,,
953,FR,4,18,4,2021-04-26 11:23:47,2021-04-26 11:23:49,pre,R9SP,2.00002098083496,776,,
