tag	count	last_det	rot	displacement_distance	displacement_angle	antenna_reach	trapezoid_length	type	size	headwidth	death	age	final_status	group	REP_treat
154	2679240	1468800	19.67	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
155	2571032	1468800	178.737	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
156	2641946	1468800	-88.046	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
157	2739440	1468800	98.531	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
158	2696915	1468800	-12.151	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
159	2707288	1468800	4.049	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
160	2715084	1468800	-168.952	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
161	2673383	1468800	-2.591	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
162	2725879	1468800	6.86	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
163	2697722	1468800	89.313	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
166	2668068	1468800	10.775	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
167	2740346	1468800	-175.517	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
168	2754594	1468800	-176.575	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
169	2714319	1468800	-13.319	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
170	2681636	1468800	-97.243	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
171	2728286	1468800	100.289	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
172	2595187	1468800	-168.589	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
173	2670128	1468800	-176.227	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
174	2741523	1468800	84.045	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
175	2725393	1468800	80.36	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
176	2695526	1468800	178.758	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
177	2754632	1468800	-2.019	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
178	2692389	1468800	-4.854	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
179	2677321	1468800	79.048	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
180	2738399	1468800	-97.535	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
