tag	count	last_det	rot	displacement_distance	displacement_angle	antenna_reach	trapezoid_length	type	size	headwidth	death	age	final_status	group	REP_treat
132	2631694	1468800	95.466	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
133	2281081	1468800	2.083	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
134	2670744	1468800	97.9	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
135	2647019	1468800	3.633	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
136	2503719	1468800	-101.857	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
137	2687564	1468800	-85.536	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
138	2693267	1468800	-172.757	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
139	2683242	1468800	-93.787	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
140	2723985	1468800	91.326	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
141	2729677	1468800	-79.883	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
142	2708660	1468800	13.172	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
143	2508684	1468800	-5.808	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
144	2671020	1468800	-85.12	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
145	2566597	1468800	7.042	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
146	2572705	1468800	83.225	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
147	2692422	1468800	81.814	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
148	2519903	1468800	-96.717	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
149	2689305	1468800	169.915	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
150	2654719	1468800	-88.997	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
151	2762218	1468800	165.17	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
152	2587902	1468800	-91.413	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
153	2723481	1468800	172.169	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
154	2661778	1468800	-102.645	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
155	2765306	1468800	-85.832	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
156	2242497	1468800	100.305	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
157	2685493	1468800	-176.294	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
158	2704799	1468800	0.032	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
159	2684139	1468800	173.676	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
160	2662692	1468800	-82.701	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
161	2730738	1468800	76.673	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
162	2715992	1468800	-92.989	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
163	2736057	1468800	164.864	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
164	2726916	1468800	170.464	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
165	2719710	1468800	171.984	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
166	2680253	1468800	173.836	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
167	2707294	1468800	83.534	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
168	2634015	1468800	179.416	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
169	2687735	1468800	-10.989	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
170	2684925	1468800	-91.079	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
171	2761036	1468800	96.07	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
172	2649145	1468800	164.863	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
173	2634136	1468800	-94.333	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
174	2538588	1468800	-101.076	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
175	2709195	1468800	175.86	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
