"Colony","qPCR_Well.","Ct1","Ct2","Code","MbruDNA","Treatment","size_treat","status","antID","AntTask1perc","prop_time_outside","colony_size","treatment","Exposed","IsAlive","IsQueen","N_exposed","Ct_mean","above_detection_threshold","Ant_status"
"R7BP","G8",28.35,28.45,"29-G8",0.11684765472619,"Big Pathogen","BP","Big",42,"nurse",0,185,"Pathogen","untreated",TRUE,FALSE,14,28.4,"T","untreated nurse"
"R5BP","D2",36.65,34.84,"20-D6",0.001372950880692,"Big Pathogen","BP","Big",39,"forager",0.447,176,"Pathogen","untreated",TRUE,FALSE,17,35.745,"T","untreated forager"
"R7BP","A3",26.25,NA,"30-A2",0.256862082938287,"Big Pathogen","BP","Big",43,"nurse",0,185,"Pathogen","treated",TRUE,FALSE,14,26.25,"T","treated nurse"
"R5BP","H3",22.69,22.62,"21-H3",6.54553274764393,"Big Pathogen","BP","Big",40,"nurse",0,176,"Pathogen","treated",TRUE,FALSE,17,22.655,"T","treated nurse"
"R5BP","E5",29.99,30.3,"21-E5",0.051434556566814,"Big Pathogen","BP","Big",41,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,30.145,"T","untreated nurse"
"R7BP","H5",36.36,36.38,"29-H5",0.000513914652183,"Big Pathogen","BP","Big",45,"forager",0.059,185,"Pathogen","untreated",TRUE,FALSE,14,36.37,"T","untreated forager"
"R5BP","A9",25.44,25.73,"21-A9",0.983139171119365,"Big Pathogen","BP","Big",42,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,25.585,"T","untreated nurse"
"R7BP","H1",33.98,34.51,"29-H1",0.00218400435482,"Big Pathogen","BP","Big",46,"forager",0.09,185,"Pathogen","untreated",TRUE,FALSE,14,34.245,"T","untreated forager"
"R5BP","B5",32.3,32.42,"21-B5",0.012269871091233,"Big Pathogen","BP","Big",43,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,32.36,"T","untreated nurse"
"R7BP","C9",33.34,34.27,"30-C5",0.002792109845252,"Big Pathogen","BP","Big",47,"nurse",0.001,185,"Pathogen","untreated",TRUE,FALSE,14,33.805,"T","untreated nurse"
"R5BP","F2",28.17,28.39,"21-F2",0.17191746552886,"Big Pathogen","BP","Big",44,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,28.28,"T","untreated nurse"
"R7BP","B9",23.15,22.74,"29-B9",4.79361885587572,"Big Pathogen","BP","Big",48,"nurse",0,185,"Pathogen","treated",TRUE,FALSE,14,22.945,"T","treated nurse"
"R5BP","H2",23.16,23.17,"21-H2",4.70581662826314,"Big Pathogen","BP","Big",45,"nurse",0.001,176,"Pathogen","treated",TRUE,FALSE,17,23.165,"T","treated nurse"
"R7BP","H2",23.505,NA,"29-C4",1.47746091225851,"Big Pathogen","BP","Big",49,"nurse",0,185,"Pathogen","treated",TRUE,FALSE,14,23.505,"T","treated nurse"
