"Loop_ID" "CAPSULE_FILE" "DT_dist_THRESHOLD" "MAX_INTERACTION_GAP" "DISAGREEMENT_THRESH" "DT_frame_THRESHOLD" "trim_length_sec" "beta" "classifier" "CSI_pre_classifier" "Fbeta_pre_classifier" "precision_pre_classifier" "sensitivity_pre_classifier" "CSI_training" "Fbeta_training" "precision_training" "sensitivity_training" "CSI_test" "Fbeta_test" "precision_test" "sensitivity_test"
3 "CapsuleDef3" 0 15 0.5 40 2 0.5 "fit_SVM_borderline_smote_type1" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.521 0.699 0.708 0.663 0.291 0.51 0.559 0.377
3 "CapsuleDef3" 0 15 0.5 40 2 0.5 "fit_SVM_borderline_smote_type2" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.539 0.728 0.747 0.66 0.285 0.496 0.539 0.377
4 "CapsuleDef3" 0 15 0.5 40 3 0.5 "fit_RF_all" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.574 0.784 0.825 0.653 0.299 0.598 0.747 0.332
4 "CapsuleDef3" 0 15 0.5 40 3 0.5 "fit_RF_sbc" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.309 0.392 0.353 0.712 0.21 0.285 0.255 0.543
4 "CapsuleDef3" 0 15 0.5 40 3 0.5 "fit_RF_ros" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.574 0.784 0.825 0.653 0.347 0.622 0.721 0.4
4 "CapsuleDef3" 0 15 0.5 40 3 0.5 "fit_RF_rus" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.461 0.595 0.572 0.704 0.4 0.576 0.579 0.564
4 "CapsuleDef3" 0 15 0.5 40 3 0.5 "fit_RF_smote" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.574 0.784 0.825 0.653 0.392 0.653 0.732 0.457
4 "CapsuleDef3" 0 15 0.5 40 3 0.5 "fit_RF_borderline_smote_type1" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.574 0.784 0.825 0.653 0.278 0.607 0.825 0.295
4 "CapsuleDef3" 0 15 0.5 40 3 0.5 "fit_RF_borderline_smote_type2" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.574 0.784 0.825 0.653 0.347 0.639 0.76 0.39
4 "CapsuleDef3" 0 15 0.5 40 3 0.5 "fit_SVM_all" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.514 0.72 0.751 0.619 0.365 0.624 0.701 0.433
4 "CapsuleDef3" 0 15 0.5 40 3 0.5 "fit_SVM_sbc" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.248 0.312 0.274 0.723 0.19 0.247 0.215 0.617
4 "CapsuleDef3" 0 15 0.5 40 3 0.5 "fit_SVM_ros" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.538 0.715 0.725 0.675 0.363 0.579 0.615 0.469
4 "CapsuleDef3" 0 15 0.5 40 3 0.5 "fit_SVM_rus" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.372 0.478 0.443 0.699 0.307 0.424 0.397 0.575
4 "CapsuleDef3" 0 15 0.5 40 3 0.5 "fit_SVM_smote" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.524 0.688 0.688 0.687 0.307 0.514 0.548 0.412
4 "CapsuleDef3" 0 15 0.5 40 3 0.5 "fit_SVM_borderline_smote_type1" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.524 0.712 0.729 0.651 0.414 0.663 0.727 0.491
4 "CapsuleDef3" 0 15 0.5 40 3 0.5 "fit_SVM_borderline_smote_type2" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.537 0.719 0.733 0.668 0.366 0.592 0.636 0.463
5 "CapsuleDef3" 0.2 15 0.5 32 2 0.5 "fit_RF_all" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.23 0.522 0.709 0.254
5 "CapsuleDef3" 0.2 15 0.5 32 2 0.5 "fit_RF_sbc" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.326 0.412 0.372 0.725 0.254 0.345 0.313 0.573
5 "CapsuleDef3" 0.2 15 0.5 32 2 0.5 "fit_RF_ros" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.313 0.575 0.668 0.371
5 "CapsuleDef3" 0.2 15 0.5 32 2 0.5 "fit_RF_rus" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.294 0.371 0.331 0.722 0.238 0.337 0.311 0.507
5 "CapsuleDef3" 0.2 15 0.5 32 2 0.5 "fit_RF_smote" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.358 0.582 0.625 0.456
5 "CapsuleDef3" 0.2 15 0.5 32 2 0.5 "fit_RF_borderline_smote_type1" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.327 0.622 0.754 0.366
5 "CapsuleDef3" 0.2 15 0.5 32 2 0.5 "fit_RF_borderline_smote_type2" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.287 0.567 0.692 0.329
5 "CapsuleDef3" 0.2 15 0.5 32 2 0.5 "fit_SVM_all" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.517 0.727 0.761 0.617 0.309 0.558 0.635 0.376
5 "CapsuleDef3" 0.2 15 0.5 32 2 0.5 "fit_SVM_sbc" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.309 0.39 0.349 0.725 0.221 0.301 0.27 0.55
5 "CapsuleDef3" 0.2 15 0.5 32 2 0.5 "fit_SVM_ros" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.54 0.733 0.755 0.655 0.304 0.526 0.576 0.392
5 "CapsuleDef3" 0.2 15 0.5 32 2 0.5 "fit_SVM_rus" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.321 0.406 0.367 0.72 0.231 0.316 0.285 0.549
5 "CapsuleDef3" 0.2 15 0.5 32 2 0.5 "fit_SVM_smote" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.503 0.678 0.683 0.655 0.331 0.523 0.542 0.459
5 "CapsuleDef3" 0.2 15 0.5 32 2 0.5 "fit_SVM_borderline_smote_type1" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.54 0.733 0.755 0.655 0.313 0.575 0.666 0.372
5 "CapsuleDef3" 0.2 15 0.5 32 2 0.5 "fit_SVM_borderline_smote_type2" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.54 0.733 0.755 0.655 0.308 0.551 0.621 0.379
6 "CapsuleDef3" 0.2 15 0.5 32 3 0.5 "fit_RF_all" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.574 0.784 0.825 0.653 0.245 0.538 0.713 0.272
6 "CapsuleDef3" 0.2 15 0.5 32 3 0.5 "fit_RF_sbc" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.295 0.373 0.333 0.72 0.193 0.269 0.242 0.49
6 "CapsuleDef3" 0.2 15 0.5 32 3 0.5 "fit_RF_ros" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.574 0.784 0.825 0.653 0.31 0.578 0.679 0.363
6 "CapsuleDef3" 0.2 15 0.5 32 3 0.5 "fit_RF_rus" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.387 0.495 0.46 0.711 0.25 0.369 0.351 0.465
6 "CapsuleDef3" 0.2 15 0.5 32 3 0.5 "fit_RF_smote" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.574 0.784 0.825 0.653 0.36 0.611 0.68 0.433
6 "CapsuleDef3" 0.2 15 0.5 32 3 0.5 "fit_RF_borderline_smote_type1" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.574 0.784 0.825 0.653 0.353 0.632 0.737 0.403
