"ant1","ant2","start","end","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
98,124,2021-04-19 15:06:49,2021-04-19 15:06:59,1,"1-1,1-2",1212.54374485623,4275.1106575472,-1.8598045726828,1117.30738302081,4347.79332894988,-1.01046567238784,"1","1","ant_98","ant_124","98_124",2021-04-19 15:06:49,2021-04-19 15:06:59,1618844809.755,1618844819.755,186003,186083,10.125,4879,"ant_124","ant_98",1,"whole_experiment","REP8/R8BP"
124,148,2021-04-19 15:10:26,2021-04-19 15:10:44,1,"1-1,1-2,2-1,2-2",2622.12659506493,3878.19345616827,-2.13031785222394,2548.9623972841,3754.80889417466,0.457383427062578,"1","1","ant_124","ant_148","124_148",2021-04-19 15:10:26,2021-04-19 15:10:44,1618845026.631,1618845044.006,187738,187877,17.5,4947,"ant_124","ant_148",1,"whole_experiment","REP8/R8BP"
48,124,2021-04-19 15:11:48,2021-04-19 15:13:11,1,"1-1,1-2",3106.42988388586,3351.1639810945,-1.43292105033372,3061.73856232583,3468.15974464882,-1.34169528212019,"1","1","ant_48","ant_124","48_124",2021-04-19 15:11:48,2021-04-19 15:13:11,1618845108.507,1618845191.633,188393,189058,83.2509999275208,4984,"ant_124","ant_48",1,"whole_experiment","REP8/R8BP"
71,179,2021-04-19 15:14:46,2021-04-19 15:14:57,1,"1-1,2-1",1993.36471231318,2110.46391046893,2.82689812484833,1872.85080176017,2141.16022201831,-2.54939086970014,"1","1","ant_71","ant_179","71_179",2021-04-19 15:14:46,2021-04-19 15:14:57,1618845286.258,1618845297.633,189815,189906,11.5,5010,"ant_71","ant_179",1,"whole_experiment","REP8/R8BP"
48,124,2021-04-19 15:13:34,2021-04-19 15:15:55,1,"1-1,1-2",3023.19442838852,3368.153802889,1.29733983334963,3076.13906798246,3268.40257626752,1.92379593808243,"1","1","ant_48","ant_124","48_124",2021-04-19 15:13:34,2021-04-19 15:15:55,1618845214.507,1618845355.133,189241,190366,140.750999927521,5034,"ant_124","ant_48",1,"whole_experiment","REP8/R8BP"
48,124,2021-04-19 15:16:41,2021-04-19 15:18:10,1,"1-1,1-2",3146.1120472775,3448.64693090608,0.705475804762134,3097.80255907453,3429.82577935233,1.02211309141328,"1","1","ant_48","ant_124","48_124",2021-04-19 15:16:41,2021-04-19 15:18:10,1618845401.259,1618845490.009,190735,191445,88.875,5081,"ant_124","ant_48",1,"whole_experiment","REP8/R8BP"
23,52,2021-04-19 15:21:40,2021-04-19 15:21:51,1,"1-1,1-2",2352.4031879816,4042.74113604424,-1.71248798347178,2468.08575754156,4059.5801104042,2.77512895939264,"1","1","ant_23","ant_52","23_52",2021-04-19 15:21:40,2021-04-19 15:21:51,1618845700.01,1618845711.635,193125,193218,11.75,5161,"ant_52","ant_23",1,"whole_experiment","REP8/R8BP"
103,171,2021-04-19 15:27:40,2021-04-19 15:28:03,1,"1-1,1-2",504.552727296302,3308.30175503876,2.96482754417143,614.353434399509,3249.73436936211,2.79750131659288,"1","1","ant_103","ant_171","103_171",2021-04-19 15:27:40,2021-04-19 15:28:03,1618846060.012,1618846083.138,196005,196190,23.2509999275208,5189,"ant_171","ant_103",1,"whole_experiment","REP8/R8BP"
95,103,2021-04-19 16:01:47,2021-04-19 16:03:13,1,"1-1,2-1",1349.96985439616,2480.4802818028,1.53033670611629,1393.26661902852,2575.60003804856,0.910948590568127,"1","1","ant_95","ant_103","95_103",2021-04-19 16:01:47,2021-04-19 16:03:13,1618848107.526,1618848193.401,212385,213072,86,5559,"ant_95","ant_103",1,"whole_experiment","REP8/R8BP"
95,103,2021-04-19 16:03:54,2021-04-19 16:04:42,1,"1-1,2-1",1406.23292152744,2483.14202249415,2.03192661076398,1403.45616707277,2586.49382480965,0.970576397456196,"1","1","ant_95","ant_103","95_103",2021-04-19 16:03:54,2021-04-19 16:04:42,1618848234.152,1618848282.527,213398,213785,48.5,5585,"ant_95","ant_103",1,"whole_experiment","REP8/R8BP"
